id,sourceRef,som_bmu_row,som_bmu_col,som_bmu_distance,cluster_size,cluster_avg_reward,reward_avg,reward_count,reward_rank
027d9c66454518f1,docs\documents-atlas-index.md#chunk-1070,14,9,0.91837,11,,,0,104
027f978ee9724521,docs\documents-atlas-index.md#chunk-306,15,9,0.877565,23,,,0,105
029772b692b7d3c4,,19,12,0.853831,127,,,0,106
029c081fcb7c687e,,19,6,0.923027,170,,,0,107
029c99c656679142,,17,11,0.846907,76,,,0,108
02abca46b74f6b1a,,10,4,0.777643,3,,,0,109
02b13f822614c604,,,5,0.717609,,,,0,110
02b25302bb18b930,,,6,0.747974,,,,0,111
02b3dedbacb85f9b,,10,,1.062547,,,,0,112
02bb250e49554089,,3,1,0.891175,14,,,0,113
02bdad5e94d6af6b,,8,5,1.008508,11,,,0,114
02bf23f02b4eca0e,,,15,1.097371,,,,0,115
02c85f601b99752a,,,,0.737704,,,,0,116
02cb8a2cae16bdae,docs\documents-atlas-index.md#chunk-531,5,5,0.952363,11,,,0,117
02cf69b0e9b24066,,8,2,0.956654,8,,,0,118
02cfd0e189b724dc,,,19,1.148936,,,,0,119
02d6d5dac6b75c56,docs\documents-atlas-index.md#chunk-63,7,12,0.994065,1,,,0,120
02db9392f4e32836,,6,3,0.877353,10,,,0,121
02df2d195de7e47d,,3,,0.922277,,,,0,122
02e15aaa64e9547b,,3,1,0.935465,14,,,0,123
02e1bdb43a4d9ec0,,18,3,1.124245,25,,,0,124
02ed82fbdc75c973,docs\documents-atlas-index.md#chunk-1203,,8,0.969253,,,,0,125
02f6e7fb7c0e7451,,,,1.089763,,,,0,126
0300dcfc4d23344d,,9,19,1.029993,70,,,0,127
0308f531c85d5804,docs\documents-atlas-index.md#chunk-796,19,5,0.735746,196,,,0,128
031db91771dd5a02,,18,,0.869931,,,,0,129
032019ce1bf0345c,,14,16,1.026508,13,,,0,130
0324eb2e3143a773,,10,13,1.001738,65,,,0,131
03351baa29fba5a5,,18,11,1.00207,40,,,0,132
0335e87d2bafa7ce,docs\CODEBASE_DIRECTORY_MAP.md#chunk-26,11,18,1.058962,30,,,0,133
033b0ad8edfee3dd,docs\documents-atlas-index.md#chunk-1221,16,10,1.020623,101,,,0,134
034485c9b005446b,,16,12,0.871072,12,,,0,135
035aa2a7fec2c54b,,12,1,1.091918,8,,,0,136
035c522ebbbcdd5d,,14,5,1.014893,5,,,0,137
0361210742dfdd6e,,12,13,1.007357,61,,,0,138
037012482cc4474e,,11,17,0.963175,9,,,0,139
037cb9a27af5e9cf,,14,16,1.048754,13,,,0,140
037cc690ff5106e3,,17,3,0.887821,25,,,0,141
0389628fc25d5306,,19,7,0.853572,165,,,0,142
0389b5452057662b,,8,18,0.800864,19,,,0,143
03949a93ee80ba1d,,7,8,0.85275,4,,,0,144
0397414aa7006adb,,11,19,0.803857,37,,,0,145
039ca9bf82d025c0,,14,14,1.047637,30,,,0,146
039d069c35daff3f,,13,10,1.030057,19,,,0,147
03a346cecd4eb6b7,,,5,1.080106,,,,0,148
03a3f03f7314dd19,,4,15,0.878733,2,,,0,149
03a5f9488be47441,,,,0.878752,,,,0,150
03aad3579e2ed28c,,,17,0.977164,,,,0,151
03b09f2d51609f2f,,4,4,0.865869,12,,,0,152
03b5760840e471ae,docs\documents-atlas-index.md#chunk-1262,,,0.994452,,,,0,153
03c70049866f88b0,,,,0.880237,,,,0,154
03d373cd3e1f8ec5,,,,1.122338,,,,0,155
03e0fbe1c46ea382,,,9,1.042104,,,,0,156
03e14cfaf790ed77,,,9,0.78915,,,,0,157
03e74a376a075bf3,,,1,0.798322,,,,0,158
03ef83c8a052b0c0,,,9,1.037395,,,,0,159
03fb1f6ad5cf910d,,7,1,1.056403,11,,,0,160
04019748644a4b52,,19,4,0.821832,58,,,0,161
040392cd7175123d,docs\documents-atlas-index.md#chunk-57,14,16,0.958949,13,,,0,162
040ebac4853b857e,,17,3,0.919183,25,,,0,163
0412233b68ea1040,,19,7,0.958592,165,,,0,164
0421c55eea4d6d01,,19,5,0.863639,196,,,0,165
0429e0aeeeaa8b31,,19,4,1.053501,58,,,0,166
04353af433cb3049,docs\documents-atlas-index.md#chunk-498,17,8,0.936128,14,,,0,167
0439f41a871f30bf,,10,19,0.883386,49,,,0,168
0440b16fc04889ab,,10,19,0.850646,49,,,0,169
0448d0e2225cd18b,,19,7,0.993196,165,,,0,170
044acab38aa95f00,,12,,0.920318,,,,0,171
04517a30c0c92331,,7,,0.922285,,,,0,172
04563ad7bc7bd3d0,,18,8,0.933627,18,,,0,173
04679597b5d364ef,docs\documents-atlas-index.md#chunk-907,13,17,0.858218,13,,,0,174
047159a0680d8316,docs\documents-atlas-index.md#chunk-418,19,7,0.793484,165,,,0,175
04773c08dafa7f33,,13,3,0.823934,5,,,0,176
048699597e424ba8,,11,19,0.818589,37,,,0,177
04b4ee5de7bdeaa7,,8,9,1.065777,3,,,0,178
04b8d3f6aad31e54,,,14,0.964899,,,,0,179
